"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2026-03","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13758.5","","","","1"
"2026-04","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13760.8","","","","1"
"2026-05","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13766.3","","","","1"
"2026-06","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","13776.2","","","","1"
"2015-02","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7359.5","","","","1"
"2015-03","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7364.6","","","","1"
"2015-04","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7347.1","","","","1"
"2015-05","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7341.4","","","","1"
"2015-06","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7359.9","","","","1"
"2015-07","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7372.5","","","","1"
"2015-08","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7398.1","","","","1"
"2015-09","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","7367.1","","","","1"
